,Y,X,fmax
174,-0.253287397,0.348316652,
175,0.040459578,0.350318471,
176,0.308218883,0.352320291,
177,0.545647872,0.354322111,
178,0.749588797,0.356323931,
179,0.91809708,0.358325751,
180,1.050427288,0.360327571,
181,1.146978869,0.36232939,
182,1.209205098,0.36433121,
183,1.239489892,0.36633303,
184,1.240998194,0.36833485,
185,1.21750643,0.37033667,
186,1.173220086,0.37233849,
187,1.112585748,0.374340309,
188,1.040104926,0.376342129,
189,0.960156728,0.378343949,
190,0.876835921,0.380345769,
191,0.793812145,0.382347589,
192,0.714215061,0.384349409,
193,0.640549102,0.386351228,
194,0.574640224,0.388353048,
195,0.517615715,0.390354868,
196,0.469916781,0.392356688,
197,0.431342301,0.394358508,
198,0.401120899,0.396360328,
199,0.378007374,0.398362147,
200,0.360398565,0.400363967,
201,0.346463014,0.402365787,
202,0.334278252,0.404367607,
203,0.321969293,0.406369427,
204,0.307841907,0.408371247,
205,0.290504509,0.410373066,
206,0.26897299,0.412374886,
207,0.242753582,0.414376706,
208,0.211899727,0.416378526,
209,0.177040079,0.418380346,
210,0.139375927,0.420382166,
211,0.100647656,0.422383985,
212,0.063071155,0.424385805,
213,0.029246388,0.426387625,
214,0.002041533,0.428389445,
215,-0.015542791,0.430391265,
216,-0.020523803,0.432393085,
217,-0.010095185,0.434394904,
218,0.018212565,0.436396724,
219,0.066376902,0.438398544,
220,0.135739959,0.440400364,
221,0.226883726,0.442402184,
222,0.33952965,0.444404004,
223,0.47246781,0.446405823,
224,0.623519792,0.448407643,
225,0.789538218,0.450409463,
226,0.966444537,0.452411283,
227,1.14930528,0.454413103,
228,1.332445511,0.456414923,
229,1.509596788,0.458416742,
230,1.674075565,0.460418562,
231,1.818986734,0.462420382,
232,1.937445901,0.464422202,
233,2.022813162,0.466424022,
234,2.068930485,0.468425842,
235,2.070354479,0.470427662,
236,2.022576239,0.472429481,
237,1.922220231,0.474431301,
238,1.767214639,0.476433121,
239,1.556926459,0.478434941,
240,1.292255617,0.480436761,
241,0.975683703,0.482438581,
242,0.611274309,0.4844404,
243,0.20462358,0.48644222,
244,-0.237238807,0.48844404,
245,-0.705996324,0.49044586,
246,-1.192236415,0.49244768,
247,-1.685680385,0.4944495,
248,-2.17544592,0.496451319,
249,-2.650334606,0.498453139,
250,-3.09913586,0.500454959,
251,-3.510938035,0.502456779,
252,-3.875437079,0.504458599,
253,-4.183233098,0.506460419,
254,-4.426105399,0.508462238,
255,-4.597257233,0.510464058,
256,-4.691522289,0.512465878,
257,-4.705526165,0.514467698,
258,-4.637797424,0.516469518,
259,-4.488824406,0.518471338,
260,-4.261055685,0.520473157,
261,-3.958843825,0.522474977,
262,-3.588333918,0.524476797,
263,-3.157300135,0.526478617,
264,-2.674935187,0.528480437,
265,-2.151599095,0.530482257,
266,-1.598534988,0.532484076,
267,-1.027560667,0.534485896,
268,-0.450745461,0.536487716,
269,0.119917658,0.538489536,
270,0.67283461,0.540491356,
271,1.197117514,0.542493176,
272,1.68286739,0.544494995,
273,2.121423774,0.546496815,
274,2.505573802,0.548498635,
275,2.829714751,0.550500455,
276,3.089965495,0.552502275,
277,3.284224084,0.554504095,
278,3.41217039,0.556505914,
279,3.475214551,0.558507734,
280,3.476393743,0.560509554,
281,3.420221408,0.562511374,
282,3.312494639,0.564513194,
283,3.160066682,0.566515014,
284,2.970592598,0.568516833,
285,2.752256918,0.570518653,
286,2.51349257,0.572520473,
287,2.262700568,0.574522293,
288,2.00797973,0.576524113,
289,1.756875268,0.578525933,
290,1.516154298,0.580527753,
291,1.291615269,0.582529572,
